City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Staritsa,RU,56.51,34.94,54.55,95,30,5.57,scattered clouds
202,Komsomolskiy,UZ,40.43,71.72,68.0,64,0,6.93,clear sky
203,Lata,PT,40.16,-8.33,71.01,57,16,10.0,few clouds
204,Ozuluama,MX,21.67,-97.85,89.08,67,8,5.32,clear sky
205,San Jose,US,37.34,-121.89,71.01,71,0,2.39,clear sky
206,Tilbury,GB,51.46,0.36,60.01,90,87,5.99,overcast clouds
207,Avera,US,33.19,-82.53,88.0,66,40,10.29,scattered clouds
208,Takoradi,GH,4.88,-1.76,76.62,81,32,11.86,scattered clouds
209,Provideniya,RU,64.38,-173.3,49.5,77,54,0.83,broken clouds
210,Diffa,NE,13.32,12.61,90.27,48,91,8.1,overcast clouds
211,Necochea,AR,-38.55,-58.74,66.99,42,17,14.0,few clouds
212,Embonas,GR,36.23,27.86,82.4,69,0,13.87,clear sky
213,Senador Jose Porfirio,BR,-2.59,-51.95,88.86,51,53,1.28,broken clouds
214,Rawson,AR,-43.3,-65.1,52.93,38,56,25.41,broken clouds
215,Dakar,SN,14.69,-17.44,87.8,74,40,6.93,scattered clouds
216,Cururupu,BR,-1.83,-44.87,85.06,65,76,6.69,broken clouds
217,Bairiki,KI,1.33,172.98,82.4,69,75,5.82,broken clouds
218,Kavieng,PG,-2.57,150.8,81.23,81,99,13.15,light rain
219,Nikolskoye,RU,59.7,30.79,59.0,87,90,11.18,light intensity shower rain
220,Bentiu,SS,9.23,29.83,75.88,81,40,2.19,scattered clouds
221,Tabora,TZ,-5.02,32.8,84.2,42,20,11.41,few clouds
222,Saldanha,ZA,-33.01,17.94,53.6,81,69,5.82,broken clouds
223,Pavlogradka,RU,54.2,73.56,62.02,67,14,7.85,few clouds
224,Yellowknife,CA,62.46,-114.35,51.8,87,75,10.29,broken clouds
225,Nzerekore,GN,7.76,-8.82,73.13,96,95,3.47,light rain
226,Goderich,CA,43.75,-81.72,77.0,68,35,3.67,scattered clouds
227,French Harbor,HN,16.35,-86.43,89.6,70,72,18.34,broken clouds
228,Ostersund,SE,63.18,14.64,55.4,58,97,8.05,overcast clouds
229,Phek,IN,25.67,94.5,61.14,100,81,1.34,broken clouds
230,Chuy,UY,-33.7,-53.46,63.19,86,95,7.99,overcast clouds
231,Pisco,PE,-13.7,-76.22,64.4,77,75,8.05,broken clouds
232,Seoul,KR,37.57,126.98,80.6,88,75,1.83,broken clouds
233,Diego De Almagro,CL,-26.37,-70.05,75.34,17,0,11.54,clear sky
234,Kirkuk,IQ,35.47,44.39,84.87,15,0,6.62,clear sky
235,Inongo,CD,-1.95,18.27,72.46,79,11,3.8,few clouds
236,Los Llanos De Aridane,ES,28.66,-17.92,82.0,74,11,16.11,few clouds
237,Mackay,AU,-21.15,149.2,53.6,93,0,8.05,clear sky
238,Tarauaca,BR,-8.16,-70.77,102.43,23,5,1.59,clear sky
239,Makat,KZ,47.65,53.35,82.06,20,100,4.94,overcast clouds
240,Hope,US,33.67,-93.59,89.01,64,71,5.01,broken clouds
241,Luckenwalde,DE,52.08,13.17,71.01,60,100,9.08,overcast clouds
242,Xuddur,SO,4.12,43.89,80.87,47,43,16.82,scattered clouds
243,Hamza,UZ,40.43,71.5,68.0,64,0,6.93,clear sky
244,Okhotsk,RU,59.38,143.3,50.34,80,100,7.58,light rain
245,Bogorodskoye,RU,56.55,37.88,56.98,95,81,6.15,broken clouds
246,Armidale,AU,-30.52,151.65,34.41,92,0,3.36,clear sky
